ex_id|date
00308|05/04/16 - 06/26/16
00306|04/27/16 - 06/19/16
00307|05/04/16 - 06/26/16
00304|04/20/16 - 06/12/16
00305|04/27/16 - 06/19/16
00302|01/20/16 - 04/10/16
00303|01/13/16 - 04/17/16
00301|02/03/16 - 04/10/16
00207|Sep 1, 2015Jul 10, 2016
00206|Feb 16, 2016Jul 3, 2016
00205|Nov 21, 2015Jun 5, 2016
00204|Jul 18, 2015Jun 5, 2016
00203|Nov 21, 2015May 8, 2016
00202|Dec 19, 2015Mar 27, 2016
00201|Dec 19, 2015Mar 27, 2016
00209|Oct 1, 2015Oct 1, 2016
00208|Jan 30, 2016Aug 21, 2016
00108|Through March 27, 2016
00109|Through July 3, 2016
00104|Through May 1, 2016
00105|Through August 7, 2016
00106|Through May 1, 2016
00107|Through Fall 2017
00101|Through May 10, 2016
00102|Ongoing
00103|Through May 8, 2016
00603|January 9, 2016 - April 10, 2016
00602|December 13, 2014 - March 13, 2016
00601|February 6May 15, 2016
00607|June 18, 2016 - September 11, 2016
00606|May 14, 2016 - August 26, 2018
00605|May 7, 2016 - October 16, 2016
00604|January 9, 2016 - May 1, 2016
00508|November 5, 2016 - March 12, 2017
00501|March 12, 2016 - May 30, 2016
00502|August 29, 2015 - April 10, 2016
00503|January 16, 2016 - July 10, 2016
00504|February 27, 2016 - September 11, 2016
00505|April 510, 2016
00506|April 23, 2016 - November 6, 2016
00507|July 16, 2016 - October 9, 2016
00401|Through Sunday, May 15
00407|Through Sunday, May 1
00404|Through Sunday, March 20
00406|Through Saturday, April 30
00410|Ongoing
00402|Through Sunday, March 20
00412|Ongoing
00413|Through Monday, July 4
00403|Through Sunday, March 20
00411|Ongoing
00405|Through Sunday, April 10
00417|April 9August 28, 2016
00414|March 19September 5, 2016
00415|March 26, 2016March 12, 2017
00409|Through Monday, June 13
00408|Through Sunday, June 12
00418|July 3October 2, 2016
00419|March 25April 2, 2017
00416|March 26July 24, 2016
00420|Through Wednesday, August 31
